id;short_url;full_url;creation_date_time;expiration_date_time
1;tan hmph hoist;chocolate seemingly against;2024-08-23T19:56:20;2024-08-24T10:49:44
2;screw;incidentally;2024-08-23T22:26:24;2024-08-24T10:17:46
3;but self-reliant;wearily;2024-08-24T10:44:08;2024-08-23T20:25:07
4;busily the whether;versus giving nor;2024-08-24T07:20:50;2024-08-24T02:11:06
5;regularly worn owlishly;because soon;2024-08-24T09:58:36;2024-08-24T01:59:38
6;gleaming fix equally;phew discretion exchange;2024-08-23T23:35:48;2024-08-24T11:52:57
7;tomorrow;cooperation daily;2024-08-23T22:19:28;2024-08-23T23:03:10
8;workplace blissfully exactly;truthfully mmm boldly;2024-08-24T16:44:05;2024-08-24T00:35:13
9;mmm;suddenly careful;2024-08-24T07:28:50;2024-08-23T23:17:38
10;as urgently fickle;only likewise onto;2024-08-24T03:55:40;2024-08-24T06:39:43
